name,align,eye,hair,sex,year
Batman,Good Characters,Blue Eyes,Black Hair,Male Characters,1939
Superman,Good Characters,Blue Eyes,Black Hair,Male Characters,1986
Green Lantern,Good Characters,Brown Eyes,Brown Hair,Male Characters,1959
James Gordon,Good Characters,Brown Eyes,White Hair,Male Characters,1987
Richard Grayson,Good Characters,Blue Eyes,Black Hair,Male Characters,1940
Wonder Woman,Good Characters,Blue Eyes,Black Hair,Female Characters,1941
Aquaman,Good Characters,Blue Eyes,Blond Hair,Male Characters,1941
Timothy Drake,Good Characters,Blue Eyes,Black Hair,Male Characters,1989
Dinah Laurel Lance,Good Characters,Blue Eyes,Blond Hair,Female Characters,1969
Flash,Good Characters,Blue Eyes,Blond Hair,Male Characters,1956
GenderTest,Good Characters,Blue Eyes,Blond Hair,Female Characters,1956
Alan Scott,Good Characters,Blue Eyes,Blond Hair,Male Characters,1940
Barbara Gordon,Good Characters,Blue Eyes,Red Hair,Female Characters,1967
Jason Garrick,Good Characters,Blue Eyes,Brown Hair,Male Characters,1940
Lois Lane,Good Characters,Blue Eyes,Black Hair,Female Characters,1938
Alfred Pennyworth,Good Characters,Blue Eyes,Black Hair,Male Characters,1943
Carter Hall,Good Characters,Blue Eyes,Brown Hair,Male Characters,1940
Kyle Rayner,Good Characters,Green Eyes,Black Hair,Male Characters,1994
Roy Harper,Neutral Characters,Green Eyes,Red Hair,Male Characters,1941
Kara Zor-L,Good Characters,Blue Eyes,Blond Hair,Female Characters,1976
Garfield Logan,Good Characters,Green Eyes,Green Hair,Male Characters,1965
Guy Gardner,Good Characters,Blue Eyes,Red Hair,Male Characters,1968
Victor Stone,Good Characters,Brown Eyes,Black Hair,Male Characters,1980
Kon-El,Good Characters,Blue Eyes,Black Hair,Male Characters,1993
James Olsen,Good Characters,Green Eyes,Red Hair,Male Characters,1986
John Stewart,Good Characters,Brown Eyes,Black Hair,Male Characters,1971
Joker,Bad Characters,Green Eyes,Green Hair,Male Characters,1940
Garth,Good Characters,Purple Eyes,Black Hair,Male Characters,1960
Zatanna Zatara,Good Characters,Blue Eyes,Black Hair,Female Characters,1964
Michael Jon Carter,Good Characters,Blue Eyes,Blond Hair,Male Characters,1986
Cassandra Sandsmark,Good Characters,Blue Eyes,Blond Hair,Female Characters,1996
Kent Nelson,Good Characters,Blue Eyes,Blond Hair,Male Characters,1940
Harvey Bullock,Good Characters,Brown Eyes,Black Hair,Male Characters,1974
Rachel Roth,Good Characters,Purple Eyes,Black Hair,Female Characters,1980
Helena Bertinelli,Good Characters,Blue Eyes,Black Hair,Female Characters,1989
Wesley Dodds,Good Characters,Brown Eyes,Brown Hair,Male Characters,1939
Nathaniel Adam,Good Characters,Blue Eyes,White Hair,Male Characters,1987
John Constantine,Good Characters,Blue Eyes,Blond Hair,Male Characters,1984
Albert Pratt,Good Characters,Blue Eyes,Red Hair,Male Characters,1940
Theodore Knight,Good Characters,Brown Eyes,Brown Hair,Male Characters,1941
Lobo,Neutral Characters,Red Eyes,Black Hair,Male Characters,1983
Slade Wilson,Neutral Characters,Blue Eyes,White Hair,Male Characters,1980
Beatriz da Costa,Good Characters,Green Eyes,Green Hair,Female Characters,1982
William Batson,Good Characters,Blue Eyes,Black Hair,Male Characters,1940
Carol Ferris,Neutral Characters,Blue Eyes,Black Hair,Female Characters,1959
Jennifer-Lynn Hayden,Good Characters,Green Eyes,Green Hair,Female Characters,1983
Renee Montoya,Good Characters,Brown Eyes,Black Hair,Female Characters,1992
Harvey Dent,Bad Characters,Blue Eyes,Brown Hair,Male Characters,1942
Courtney Whitmore,Good Characters,Blue Eyes,Blond Hair,Female Characters,1999
Kendra Saunders,Good Characters,Hazel Eyes,Brown Hair,Female Characters,1999
